id,value,category
1,0.025284415343776345,C
2,0.8101539206691086,E
3,0.80646190769039094,D
4,0.4245770056731999,C
5,0.8271780596114695,D
6,0.93958720122464,E
7,0.2226270732935518,D
8,0.7342118653468788,B
9,0.345881411107257,A
10,0.5117946788668633,D
11,0.6597899806220084,E
12,0.42313765781000257,B
13,0.06476807151921093,B
14,0.010470827575773,E
15,0.2811990121845156,E
16,0.06683173612691462,E
17,0.9444900897797197,C
18,0.4893445950001478,C
19,0.9353151437826455,A
20,0.47338209324516356,B
21,0.512494552647695,B
22,0.22770874644629657,A
23,0.4990171459503472,C
24,0.9884756410028785,D
25,0.7962360975798219,B
26,0.5052010978106409,A
27,0.24474324262700975,C
28,0.3727163076400757,D
29,0.646947514731437,B
30,0.1904172762297094,B
31,0.24579215212725103,C
32,0.40472127264365554,E
33,0.9784844270907342,E
34,0.9181603044271469,A
35,0.7837102904450148,B
36,0.13997841929085553,E
37,0.0323608226608485,B
38,0.27671665349043906,B
39,0.21182525344192982,C
40,0.9477290534414351,B
41,0.6149858713615686,E
42,0.35415778518654406,D
43,0.6730862304102629,C
44,0.4644719061907381,E
45,0.7997756660915911,E
46,0.8432039860635996,E
47,0.09861505357548594,A
48,0.8025717539712787,E
49,0.899059321032837,E
50,0.015607068315148354,A
51,0.31570065254345536,E
52,0.16350614628754556,C
53,0.5745998055208474,C
54,0.12041665380820632,D
55,0.23690482857637107,D
56,0.4089320949278772,B
57,0.22706484468653798,D
58,0.9170854550320655,D
59,0.1574858797248453,D
60,0.47672463464550674,C
61,0.8377952536102384,E
62,0.7637076138053089,C
63,0.7753712667617947,E
64,0.3298235349357128,C
65,0.3883984265848994,A
66,0.09100092900916934,C
67,0.7469623717479408,C
68,0.6712498355191201,B
69,0.4430317806545645,C
70,0.730169405695051,B
71,0.9877149856183678,B
72,0.07885836693458259,C
73,0.05649501993320882,D
74,0.3405796317383647,C
75,0.10325533570721745,D
76,0.5994958658702672,B
77,0.20058096619322896,E
78,0.5113627766259015,B
79,0.739241203526035,C
80,0.4738546400330961,D
81,0.3777705093380064,A
82,0.574692020425573,A
83,0.5350332125090063,E
84,0.6123829495627433,B
85,0.9042077662888914,C
86,0.6286963284946978,C
87,0.3145129943732172,E
88,0.31166425184346735,E
89,0.7006864591967314,A
90,0.6066652098670602,E
91,0.9658222382422537,D
92,0.5429839759599417,E
93,0.08397193416021764,D
94,0.7474412610754371,C
95,0.8541392430197448,C
96,0.9672378785908222,D
97,0.5021755143534392,C
98,0.43252918450161815,D
99,0.8805012020748109,C
100,0.3630806903820485,D
