id,value,category
1,0.7145491824485362,D
2,0.39355798508040607,D
3,0.5905559523962438,D
4,0.21392693859525025,A
5,0.26515459339134395,B
6,0.1014031795784831,C
7,0.7048251978121698,B
8,0.3756543663330376,C
9,0.44470140407793224,C
10,0.1799135636538267,D
11,0.9404754645656794,A
12,0.24722462124191225,A
13,0.44412299315445125,B
14,0.7584040912333876,D
15,0.7962431048508734,A
16,0.912990431766957,A
17,0.8769790057558566,D
18,0.07016648119315505,B
19,0.575605483725667,A
20,0.5341849338728935,D
21,0.5432342202402651,E
22,0.9062144258059561,C
23,0.4549634186550975,A
24,0.1571131511591375,D
25,0.4011203160043806,D
26,0.011074780719354749,C
27,0.08637951780110598,C
28,0.2644506306387484,D
29,0.8055499084293842,A
30,0.8836282449774444,B
31,0.4260484667029232,C
32,0.645736516918987,C
33,0.3687092505861074,B
34,0.2624572915956378,E
35,0.02478903206065297,A
36,0.5550651187077165,E
37,0.19045240804553032,E
38,0.9920373617205769,A
39,0.37163754692301154,A
40,0.14284003782086074,C
41,0.76667594560422,E
42,0.39177825557999313,E
43,0.08388550626114011,D
44,0.16168301203288138,C
45,0.8222556521650404,D
46,0.4715459162835032,E
47,0.3145570829510689,E
48,0.3104879851453006,A
49,0.878795191179961,D
50,0.210324035724625,D
51,0.21764766983687878,B
52,0.49412639904767275,B
53,0.09654179494827986,D
54,0.579627510625869,C
55,0.8995058289729059,E
56,0.4912939975038171,C
57,0.047949965577572584,C
58,0.1689790792297572,D
59,0.9218837809748948,A
60,0.597444761544466,B
61,0.2848230798263103,C
62,0.19073621067218482,E
63,0.30463436245918274,E
64,0.6493518010247499,C
65,0.16409048158675432,C
66,0.23359361267648637,E
67,0.17957490123808384,B
68,0.1767547014169395,A
69,0.34741605166345835,C
70,0.5074409337248653,A
71,0.06500817718915641,C
72,0.7304865417536348,D
73,0.1882408729288727,B
74,0.1743676783517003,D
75,0.2913310336880386,A
76,0.254589558346197,D
77,0.4996667916420847,E
78,0.5438601940404624,D
79,0.8014534539543092,D
80,0.11798864998854697,D
81,0.51335109770298,C
82,0.25739839812740684,D
83,0.05789522919803858,E
84,0.2228599654044956,E
85,0.2706906325183809,D
86,0.13415440311655402,D
87,0.7342352117411792,D
88,0.41058823466300964,E
89,0.47234512818977237,E
90,0.42052195640280843,E
91,0.7713087843731046,A
92,0.07173742959275842,A
93,0.8088357509113848,E
94,0.8476714785210788,D
95,0.5754946125671268,B
96,0.8450671827886254,A
97,0.3789078916888684,A
98,0.4480196610093117,D
99,0.5186835136264563,D
100,0.5399920272175223,E
