id,value,category
1,0.14139277045615017,B
2,0.7920955738518387,A
3,0.9313613965641707,A
4,0.2187897062394768,C
5,0.44891962595283985,C
6,0.678352513583377,B
7,0.04298721021041274,B
8,0.871350834146142,D
9,0.29157759295776486,D
10,0.8176614684052765,D
11,0.14585520350374281,E
12,0.7895493498072028,E
13,0.4088640830013901,A
14,0.7757902478333563,E
15,0.9055872694589198,C
16,0.825383716262877,C
17,0.22752370359376073,A
18,0.3471620965283364,B
19,0.30567123531363904,A
20,0.6281160723883659,D
21,0.0037820071447640657,B
22,0.985786103643477,D
23,0.3109559123404324,B
24,0.6639032748062164,E
25,0.8045596724841744,A
26,0.5749115101061761,B
27,0.020613126223906875,C
28,0.9848988223820925,D
29,0.7537816623225808,A
30,0.624071037163958,B
31,0.04852947033941746,E
32,0.1811434281989932,B
33,0.3371909449342638,A
34,0.41846250439994037,C
35,0.44000425189733505,E
36,0.8186850275378674,C
37,0.6463638313580304,C
38,0.8247044971212745,E
39,0.7074051364324987,B
40,0.6799360201694071,B
41,0.9996100813150406,A
42,0.7816026380751282,C
43,0.45081278844736516,A
44,0.36906944611109793,D
45,0.37337941001169384,E
46,0.3210251950658858,A
47,0.5284995473921299,C
48,0.468680914491415,B
49,0.5018632363062352,D
50,0.03365959390066564,E
51,0.6024177309591323,B
52,0.38284351071342826,A
53,0.8066034759394825,E
54,0.41610049083828926,C
55,0.0383230319712311,B
56,0.4521325519308448,C
57,0.8298818909097463,B
58,0.033843249548226595,A
59,0.6927682869136333,C
60,0.3109248373657465,A
61,0.23391492594964802,B
62,0.9348518676124513,E
63,0.6666275076568127,C
64,0.5940440441481769,D
65,0.24745406489819288,B
66,0.5499258323106915,A
67,0.21101774252019823,B
68,0.8777919842395931,C
69,0.22586179617792368,C
70,0.5659200907684863,E
71,0.5050186954904348,B
72,0.30619845748879015,B
73,0.5310714382212609,E
74,0.1621407433412969,A
75,0.1765780970454216,C
76,0.43111784430220723,D
77,0.09469427727162838,E
78,0.7138892719522119,E
79,0.2722677537240088,B
80,0.5606825589202344,B
81,0.48815886955708265,E
82,0.619839881779626,C
83,0.980564848985523,A
84,0.6481727054342628,A
85,0.6893391537014395,E
86,0.5555674768984318,A
87,0.49645649804733694,D
88,0.40527837770059705,A
89,0.8089374445844442,E
90,0.39722243836149573,A
91,0.4543327623978257,D
92,0.08159029739908874,C
93,0.35391751606948674,B
94,0.16937690344639122,B
95,0.610156885581091,A
96,0.17893202393315732,E
97,0.2489783358760178,E
98,0.8761324696242809,E
99,0.6605767409782857,D
100,0.6922504031099379,A
